idx,class,conversation
3979,일반 대화,"['명품', '신발', '샀다며', '근데', '가격', '개비', '쌈', '눈물남', '만족하냐', '퀄리티', '개', '좋음', '오래', '신', '듯', '나도', '고민', '되네', '지를까', '말까']"
3980,일반 대화,"['롤', '요즘', '뭐', '사기', '챔', '임', '빅토르', '개', '사기', '됨', '하향', '안', '먹으면', '개꿀', '헐', '빅토르', '연습', '해볼까', '지금', '메타', '개', '좋음', '오케이', '담', '랑', '돌린다']"
3981,일반 대화,"['요즘', '다이어트', '한다며', '함', '간', '헐', '적', '단식', '중', '점심', '저녁', '만', '먹음', '헐', '배고프진', '않음', '처음', '엔', '빡', '셌는데', '적응하니까', '괜찮음', '나도', '해볼까', '고민', '중']"
3982,일반 대화,"['마블', '영화', '개봉', '하는', '거', '봤냐', '헐', '개봉', '함', '주', '티켓팅', '해야', '할', '듯', '랑', '보러', '가자', '개기대', '된다']"
3983,일반 대화,"['요즘', '패션', '뭐', '유행', '함', 'YK', '감성', '다시', '돌아오는', '중', '통', '넓은', '바지', '다시', '유행', '하겠네', '크롭탑', '도', '인기', '많음', '오케이', '나도', '사야겠다']"
3984,일반 대화,"['보드게임', '샀다며', '쿠푸', '왕', '샀는데', '개꿀잼', '헐', '나도', '보드게임', '좋아하는데', '주말', '보드게임', '밤새서', '하자', '집', '고']"
3985,일반 대화,"['요즘', '뭐', '듣냐', '난', '라디오', '많이', '듣는다', '힐링', '됨', '감성', '이냐', '그냥', '조용한', '음악', '듣고', '싶을', '좋음', '나도', '한번', '들어', '봐야겠다']"
3986,일반 대화,"['요즘', '영화', '뭐', '재밌냐', '에브리씽', '에브리', '웨어', '봤는데', '개꿀잼', '헐', '넷플릭스', '있어', '아직', '은', '없고', '극장', '에서만', '함', '나도', '조만간', '보러', '가야겠다']"
3987,일반 대화,"['방', '탈출', '가볼래', '헐', '개', '좋지', '테마', '갈까', '좀비', '테마', '무섭긴', '개', '재밌대', '겁', '많긴', '도전', '해볼래', '담주에', '예약', '잡는다']"
3988,일반 대화,"['요즘', '인스타', '보면', '챌', '린지', '유행', '이냐', 'OO', '댄스', '챌', '린지', '개', '많이', '하더라', '헐', '나도', '해볼까', '랑', '하면', '웃길', '듯', '오케이', '도전', '한다']"
3989,일반 대화,"['반', '애', '중', '누가', '제일', '공부', '잘', '함', '김민지', '걔', '진짜', '전교', '등임', '노력', '도', '장난', '아닐', '듯', '학원', '도', '개', '다닌대', '대박', '이다', '나도', '열심히', '해야겠다']"
3990,일반 대화,"['닌텐도', '신작', '게임', '봤냐', '젤다', '신작', '나온다며', '완전', '기대', '중', '나도', '사야겠다', '달리자']"
3991,일반 대화,"['요즘', '뭐', '재밌는', '유튜브', '채널', '있어', 'OO', '채널', '개꿀잼', '헐', '뭐', '하는', '사람', '이야', '먹방', '하는데', '개맛', '있어', '보임', '나도', '한번', '봐야겠다']"
3992,일반 대화,"['해외여행', '가고', '싶음', '난', '일본', '가고', '싶다', '음식', '미쳤잖아', '일본', '음식', '은', '인정', '이지', '진짜', '가자', '돈', '모아야겠네']"
3993,일반 대화,"['저녁', '뭐', '먹을', '거임', '난', '삼겹살', '땡기는데', '헐', '나도', '먹을래', '시', '만나', '한', '시', '보자']"
3994,일반 대화,"['포켓몬', '빵', '품절', '됐대', '헐', '나도', '아직', '한', '번', '도', '못', '사봤는데', '진짜', '인기', '미쳤네', '띠부씰', '모으는', '사람', '개', '많음', '나도', '모으고', '싶은데', '씨발', '빵', '없음', '편의점', '오픈', '런', '해야', '가능함']"
3995,일반 대화,"['요즘', '술', '뭐', '좋냐', '난', '위스키', '좋더라', '깔끔해서', '미친', '맨날', '소주', '마시더니', '소주', '도', '좋지만', '위스키', '도', '한잔', '씩', '하면', '개꿀', '나도', '한번', '마셔', '볼까', '고민', '되네']"
3996,일반 대화,"['서울', '빵', '지', '순례', '가자', '헐', '개', '좋지', '갈', '건데', '압구정', 'OO', '빵집', '이랑', '성수', '유명한', '데', '있대', '미쳤다', '거기', '줄', '개길지', '않냐', '평일', '가야', '함', '주말', '은', '못', '감']"
3997,일반 대화,"['집', '강아지', '미용', '했는데', '개', '귀엽다', '헐', '사진', '보내', '완전', '인형', '됨', '근데', '삐진', '거', '같음', '귀여워', '죽겠다', '간식', '주면', '풀릴', '듯', '저녁', '간식', '투척', '해야겠다']"
3998,일반 대화,"['요즘', '게임', '뭐', '재밌음', '난', '발', '로란', '트', '다시', '잡음', '개잼', '미쳤네', '원래', 'FPS', '안', '좋아하잖아', '근데', '이건', '다름', '팀플', '이라', '더', '꿀잼', '나도', '해볼까', '캐리', '해줘라']"
3999,일반 대화,"['요즘', '카페', '어디가', '핫함', '한남동', 'OO', '카페', '분위기', '미쳤음', '헐', '갔다', '왔냐', '근데', '커피', '도', '괜찮고', '인테리어', '개', '이쁨', '나도', '가야겠다', '담주에', '가자']"
4000,일반 대화,"['단체', '티', '맞출까', '개', '좋지', '디자인', '그냥', '깔끔한', '로고', '박힌', '거', '흰색', '통일', '하자', '오케이', '내', '사이트', '알아볼게']"
4001,일반 대화,"['요즘', '너무', '힘들다', '뭐', '때문', '회사', '상사', '개', '빡치게', '함', '엔', '인데', '내', '한', '거', '다', '지가', '한', '처럼', '얘기', '함', '개', '빡쳐']"
4002,일반 대화,"['요즘', '진짜', '공부', '손', '안', '잡힌다', '뭐', '문제', '몰라', '그냥', '집중', '안', '됨', '요즘', '스트레스', '받는', '있어', '신경', '쓸', '게', '많아서', '그런', '듯']"
4003,일반 대화,"['요즘', '헬스장', '가기', '싫어짐', '재미없어', '처음', '엔', '열심히', '했는데', '요즘', '귀찮아서', '헐', '진짜', '열심히', '하더니', '갑자기', '그냥', '의욕', '떨어졌어', '해야', '하냐']"
4004,일반 대화,"['요즘', '대인기피증', '생긴', '거', '같아', '뭐', '때문', '사람', '만나는', '게', '너무', '피곤해', '그럴', '있지', '쉬어야', '하는', '거', '아냐', '근데', '너무', '쉬', '면', '더', '악화', '될까', '걱정', '됨']"
4005,일반 대화,"['요즘', '너무', '우울한데', '이유', '모르겠어', '그럴', '있지', '그냥', '기분', '싱숭생숭한', '거', '아냐', '그런', '거', '같기도', '하고', '뭔가', '공허함', '요즘', '스트레스', '많이', '받았어', '그냥', '쌓이는', '게', '많았던', '거', '같아']"
4006,일반 대화,"['팀', '플', '하는', '애', '너무', '비', '협조', '적', '이라', '스트레스', '받아', '헐', '뭐', '제대로', '안', '해', '내', '다', '하고', '있음', '개', '빡침', '진짜', '최악', '이다', '다', '하냐', '어쩔', '수', '없음', '안', '하면', '걍', '팀', '점수', '날아감']"
4007,일반 대화,"['요즘', '살', '찐', '거', '같아', '갑자기', '스트레스', '받아서', '폭', '식', '했나', '다시', '관리', '해야지', '운동', '하든', '해야지', '해야지', '귀찮아서', '안', '함']"
4008,일반 대화,"['요즘', '잠', '못', '불면증', '이야', '맨날', '새벽', '시', '못', '잠', '피곤하겠다', '피곤한데도', '잠', '안', '옴', '개', '빡쳐']"
4009,일반 대화,"['취업', '준비', '하는데', '너무', '막막하다', '헐', '지금', '넣고', '있어', '군데', '넣었는데', '다', '서류', '광탈', '함', '요즘', '경쟁', '개심', '하다니까', '멘탈', '터질', '거', '같음']"
4010,일반 대화,"['요즘', '진짜', '우울증', '올', '거', '뭐', '때문', '몰라', '그냥', '매일', '똑같고', '아무', '도', '재미없음', '헐', '원래', '잘', '노', '는', '스타일', '이었잖아', '근데', '요즘', '은', '뭘', '해도', '재미없음']"
4011,일반 대화,"['알바', '하는데', '사장', '님', '개', '빡치게', '함', '뭐라', '했는데', '실수', '해놓고', '한테', '뒤집어', '씌움', '헐', '진짜', '어이없네', '그만두고', '싶은데', '돈', '때문', '참는', '중']"
4012,일반 대화,"['요즘', '연애', '하고', '싶은데', '좋은', '사람', '안', '보임', '갑자기', '연애', '타령', '이냐', '그냥', '외로워', '서', '그런', '듯', '앱', '이라도', '깔아', '귀찮아', '자연', '스럽게', '만나고', '싶음']"
4013,일반 대화,"['요즘', '재능', '없다는', '생각', '들어', '뭔', '소리', '잘', '하고', '있잖아', '그냥', '다', '잘', '하는데', '는', '부족한', '느낌', '다', '그렇게', '생각', '하는', '거야', '도', '괜찮아', '그렇긴', '자꾸', '비교', '하게', '됨']"
4014,일반 대화,"['요즘', '자꾸', '현', '타', '온다', '뭐', '때문', '그냥', '아무', '도', '의미', '없어', '보임', '헐', '원래', '그런', '스타일', '아니었잖아', '나도', '모르겠어', '걍', '우울함']"
4015,일반 대화,"['요즘', '계속', '머리', '아파', '헐', '병원', '가봐야', '하는', '거', '아니냐', '그냥', '피곤해서', '그런', '거', '같기도', '하고', '오래', '지속', '되면', '검사', '받아', '조만간', '가볼', '생각', '이야']"
4016,일반 대화,"['인간관계', '너무', '힘들어', '랑', '문제', '있어', '그냥', '사람', '만나는', '게', '점점', '피곤해', '짐', '그럴', '있지', '만의', '도', '필요함', '근데', '그러다', '친구', '다', '잃을까', '걱정', '됨']"
4017,일반 대화,"['요즘', '하는데', '너무', '지친다', '너무', '바빠', '매일', '야근', '하고', '스트레스', '장난', '아님', '헐', '그러다', '건강', '나빠지는', '거', '아니야', '진짜', '쉬', '고', '싶은데', '현실', '그게', '안', '됨']"
4018,일반 대화,"['요즘', '무기력증', '개심', '해', '뭐', '때문', '그냥', '아무', '도', '하기', '싫고', '계속', '누워', '있음', '헐', '밥', '은', '잘', '먹냐', '밥', '은', '먹는데', '그냥', '사는', '게', '재미없음']"
4019,일반 대화,"['꿈', '뭔', '지', '모르겠어', '갑자기', '철학', '적', '인', '고민', '하네', '진짜', '뭐', '하고', '싶은지', '모르겠음', '너무', '깊게', '고민', '하지', '마', '그냥', '흘러가는', '대로', '살아도', '됨', '근데', '막연한', '게', '불안하긴', '해']"
4020,일반 대화,"['요즘', '자존감', '개', '바닥', '됨', '있어', '그냥', '다', '잘', '하는데', '만', '못', '하는', '느낌', '도', '잘', '하고', '있어', '비교', '하지', '마라', '그러려고', '해도', '자꾸', '비교', '하게', '됨']"
4021,일반 대화,"['요즘', '경제', '적', '스트레스', '장난', '아님', '돈', '쓸', '많아', '월급', '은', '한정', '돼', '있는데', '쓸', '곳', '은', '많음', '헐', '알바', '라도', '해야', '하는', '거', '아니냐', '래야', '하는데', '없음', '개', '빡침']"
4022,일반 대화,"['요즘', '뭘', '해도', '재미없어', '헐', '번', '아웃', '온', '거', '아냐', '런가', '그냥', '아무', '도', '하기', '싫음', '한', '번', '쉬어', '너무', '몰아', '붙이', '지', '말고', '래야', '할', '듯']"
4023,일반 대화,"['어제', '너무', '창피한', '당했어', '헐', '뭐', '했는데', '회사', '실수', '해서', '팀', '장', '한테', '개', '혼남', '헐', '눈물', '날', '거', '같았겠다', '진짜', '자리', '사라지고', '싶었음']"
4024,일반 대화,"['요즘', '너무', '외롭다', '연애', '하고', '싶냐', '진심', '연애', '세포', '다', '죽음', '소개팅', '이라도', '해봐', '귀찮아', '그냥', '자연', '스럽게', '만나고', '싶음']"
4025,일반 대화,"['요즘', '자주', '멍', '때려', '원래', '그랬잖아', '요즘', '더', '심해', '그냥', '정신', '나감', '스트레스', '때문', '인가', '그런', '듯', '머릿속', '복잡함']"
4026,일반 대화,"['요즘', '너무', '불안해', '뭐', '문제', '그냥', '모든', '게', '불안정한', '느낌', '뭐라도', '해봐', '가만', '있으면', '더', '불안해', '짐', '뭘', '해야', '할지', '모르겠어']"
4027,일반 대화,"['요즘', '돈', '없어서', '너무', '힘들어', '있어', '그냥', '월급', '도', '부족하고', '알바', '도', '못', '하겠어', '헐', '진짜', '힘들겠다', '무조건', '일자리', '구해', '라', '그러게', '돈', '제일', '문제', '다']"
4028,일반 대화,"['요즘', '계속', '부끄러움', '타는', '같아', '뭐', '때문', '사람', '앞', '말', '하는', '게', '너무', '힘들어', '그냥', '편하게', '생각', '해봐', '어차피', '사람', '도', '한테', '관심', '없어', '그게', '말', '처럼', '쉽냐', '내', '아예', '사라지고', '싶어']"
4029,일반 대화,"['오늘', '아침', '지각', '했어', '뭐', '제대로', '못', '하겠어', '똑같은', '실수', '는', '자제', '하자', '알', '진짜', '미친', '같아', '내일', '절대', '안', '그럴게']"
4030,일반 대화,"['지금', '정신', '적', '너무', '힘든데', '아무', '한', '테', '도', '말', '못', '하겠어', '뭐', '때문', '그냥', '사람', '사이', '점점', '더', '피곤해지고', '아무', '도', '하기', '싫어', '마음속', '으로라도', '털어놓아', '앓지', '마', '그게', '그렇게', '쉽지', '않다니까']"
4031,일반 대화,"['요즘', '너무', '자주', '짜증', '뭐', '문제', '그냥', '아무', '도', '안', '되는', '느낌', '사람', '한테', '잘못', '해서', '런가', '그럴', '있지', '그냥', '스스로', '한', '발', '물러서서', '생각', '해봐', '그렇긴', '계속', '이렇게', '살아야', '싶어']"
4032,일반 대화,"['요즘', '외로움', '진짜', '심해', '있으면', '눈물', '나올', '같아', '갑자기', '아무', '도', '하기', '싫고', '다', '바빠서', '연락', '도', '잘', '안', '돼', '내', '친구', '인', '걸', '잊지', '마', '난', '항상', '편이', '그건', '알', '그냥', '가끔', '무너질', '있어']"
4033,일반 대화,"['진짜', '미친듯이', '했는데', '보상', '전혀', '없어', '뭐', '뭐', '했는데', '회사', '진짜', '피', '눈물', '는', '했거든', '근데', '보상', '은', '없고', '만', '쉴', '틈', '없고', '그냥', '싸워라', '그런', '데', '는', '만', '아픈데', '시키는', '건지', '모르겠어']"
4034,일반 대화,"['요즘', '계속', '체력', '떨어져서', '운동', '안', '하는', '게', '죄책감', '처럼', '느껴져', '안', '해', '그냥', '피곤하고', '바빠서', '안', '했는데', '너무', '죄책감', '든다', '주말', '에라도', '운동', '하자', '나도', '요즘', '처져서', '나도', '가야겠다']"
4035,일반 대화,"['요즘', '이렇게', '인생', '아무', '맛', '도', '없지', '맛', '없냐', '그냥', '하고', '싶은', '도', '없고', '재밌는', '도', '없는', '느낌', '그럴', '있지', '그냥', '다', '쉬어야', '해', '그렇긴', '상태', '너무', '오래', '계속', '될까', '걱정', '이야']"
4036,일반 대화,"['요즘', '자주', '늦어', '일찍', '자고', '싶은데', '잠', '안', '뭐', '때문', '잠', '안', '오는데', '자꾸', '생각', '많아서', '그런', '거', '같아', '그거', '괴롭지', '그냥', '핸드폰', '이라도', '끄고', '자는', '게', '나을', '듯']"
4037,일반 대화,"['요즘', '아무', '도', '하기', '싫어', '인생', '너무', '지루해', '그런', '거', '같아', '모든', '게', '다', '똑같고', '재미없고', '아무', '도', '의미', '없더라', '그럴', '있을', '거야', '근데', '그런', '감정', '도', '나중', '지나가면', '그리울', '그게', '오냐', '지금', '은', '죽고', '싶을', '정도']"
4038,일반 대화,"['요즘', '진짜', '바빠서', '다', '놓치고', '있는', '느낌', '뭐', '놓쳤는데', '사람', '하고', '약속', '도', '자꾸', '못', '지키고', '일도', '다', '못', '하고', '중요한', '거', '하자', '뭐', '든지', '순위', '는', '있잖아', '계속', '불안하고', '미안한', '마음', '너무', '크다']"
4039,일반 대화,"['요즘', '진짜', '집', '에만', '있고', '싶어', '밖에', '나가면', '피곤해서', '죽', '같아', '그렇게', '된', '거야', '그냥', '모든', '게', '귀찮고', '힘들어져서', '그럴', '땐', '하루', '정도', '집', '푹', '쉬어', '그게', '중요해', '맞아', '래야', '나을', '듯']"
4040,일반 대화,"['진짜', '이렇게', '아무', '도', '안', '되는지', '모르겠어', '점', '그런', '생각', '들어', '그냥', '모든', '게', '막혀', '뭔가', '하고', '싶은데', '잘', '안', '돼', '그럴', '있지', '한', '번', '쉬어가면서', '다시', '시작', '해보면', '돼', '아직', '아무', '도', '시작', '도', '못', '해봤어', '힘든', '거', '같아']"
4041,일반 대화,"['요즘', '너무', '피곤하다', '어디서', '시작', '해야', '할지', '모르겠어', '시작', '해야지', '그냥', '중요한', '해결', '하려고', '해봐', '근데', '그게', '다', '너무', '많아서', '서는', '도저히', '못', '할', '거', '같아']"
4042,일반 대화,"['오늘', '너무', '슬펐다', '말', '할', '사람', '도', '없고', '그런', '일이', '있었어', '그냥', '누군가', '한테', '상처', '주는', '말', '해서', '마음', '아팠어', '말', '한', '사람', '도', '그만큼', '상처', '받고', '있을', '거', '니까', '내', '다', '받아줘야', '하는데', '너무', '힘들어']"
4043,일반 대화,"['요즘', '너무', '있는', '게', '싫다', '사람', '있는', '게', '답답하기도', '하고', '해야', '할까', '그냥', '집', '있을', '있을', '는', '다', '괜찮은데', '밖에', '나가면', '그게', '싫어', '적당히', '나가면서도', '만의', '가져야', '해', '그게', '나을까', '계속', '고민', '돼']"
4044,일반 대화,"['요즘', '하는데', '너무', '힘들어', '뭐', '힘든데', '그냥', '팀원', '하고', '맞지', '않아서', '힘들어', '그건', '조심해야겠다', '하는', '사람', '이니까', '너무', '빡쳐서', '견디기', '힘들어']"
4045,일반 대화,"['요즘', '뭘', '해도', '결과', '안', '좋아서', '스트레스', '그럴', '있지', '계속', '도전', '해봐', '뭔가', '내', '잘못', '하는', '거', '같아서', '못', '하겠어', '실패', '도', '경험', '이고', '더', '잘', '하면', '돼']"
4046,일반 대화,"['요즘', '짜증나', '내', '일이', '잘', '안', '돼서', '런가', '일이', '잘', '안', '됐는데', '그냥', '내', '제대로', '준비', '하지', '않아서', '그런', '거', '같아', '에는', '제대로', '준비', '해야겠어', '맞아', '준비', '된', '자만', '성과', '얻는다']"
4047,일반 대화,"['요즘', '너무', '괴로워', '일이', '잘', '안', '풀려서', '기분', '계속', '우울해', '할', '거야', '쉬어야', '할', '거', '같아', '그게', '제일', '나을', '거', '같아']"
4048,일반 대화,"['요즘', '아침', '일어나는', '도', '힘들어', '그렇게', '힘들어', '아침', '일어나기', '싫은', '거야', '그냥', '내', '하는', '일이', '재미없고', '전혀', '내', '기분', '좋지', '않아서', '그런', '거', '같아', '바꿔', '보는', '도', '좋은', '방법', '이야']"
4049,일반 대화,"['요즘', '모든', '게', '지루하고', '재미없어', '그런', '거', '같아', '내', '하는', '일이', '점점', '더', '반복', '적', '이고', '똑같아서', '런가', '그럴', '땐', '새로운', '걸', '시도', '해', '보는', '게', '나아']"
4050,일반 대화,"['요즘', '내', '미래', '너무', '불안하고', '걱정', '돼', '일이', '때문', '불안해', '그냥', '내', '하고', '싶은', '일이', '뭔', '지도', '모르겠고', '앞', '될지', '모르겠어', '그런', '고민', '다', '한다', '그럴', '땐', '한', '발', '물러서서', '생각', '해봐']"
4051,일반 대화,"['내', '물건', '맨날', '허락', '없이', '가져가냐', '뭔', '소리', '그냥', '썼어', '미리', '말', '이라도', '하던가', '씨발', '찾아보는데', '개', '고생', '함', '미안하다고', '조심할게', '없거든', '한', '번만', '더', '이러면', '진짜', '가만', '안', '둬']"
4052,일반 대화,"['진짜', '말버릇', '고쳐라', '뭐', '문제', '인데', '니', '먼저', '막말', '니까', '나도', '빡치는', '거', '잖아', '만', '문제', '인', '처럼', '말', '하네', '웃기', '지', '마라', '도', '만', '만치', '않거든']"
4053,일반 대화,"['지금', '뭐라고', '했냐', '내', '뭘', '아까', '내', '뒷', '담', '깠잖아', '누가', '모를', '줄', '알', '그거', '사실', '말', '한', '건', '맞는데', '뭐', '어쩌라고', '진짜', '개', '싸가지', '없네', '니', '얼굴', '다시는', '안', '보고', '싶다']"
4054,일반 대화,"['숙제', '안', '했다고', '팀', '점수', '깎였어', '미안', '어제', '너무', '피곤해서', '미안하면', '미리', '말', '이라도', '하지', '만', '개', '고생', '했잖아', '진짜', '미안해', '담', '엔', '꼭', '할게', '담', '엔', '필요', '없고', '팀', '끼', '지', '마라']"
4055,일반 대화,"['한테', '거짓말', '한', '거', '다', '들었다', '소리', '난', '거짓말', '안', '했는데', '니', 'OO', '한테', '한', '말', '은', '뭐', '냐', '너무한', '거', '아니냐', '그건', '그냥', '장난', '이었어', '오해', '하지', '마', '씨발', '장난', '랑', '말', '섞기', '싫다']"
4056,일반 대화,"['일부러', '내', '싫어하는', '애', '랑', '어울리는', '거야', '미친', '나도', '걔', '랑', '친한데', '내', '기분', '은', '안', '중요하다는', '거지', '넌', '친구', '사귈', '허락', '받고', '해야', '함', '진짜', '정', '떨어진다', '알아서', '잘', '살아라']"
4057,일반 대화,"['내', '빌려', '준', '돈', '갚을', '거야', '달', '월급', '들어오면', '줄', '게', '씨발', '맨날', '소리', '잖아', '엔', '진짜', '냐', '진짜', '라니까', '만', '믿어줘', '일주일', '안', '안', '갚으면', '다', '공개', '한', '다']"
4058,일반 대화,"['지각', '변명', '만', '하냐', '내', '일부러', '그런', '도', '아니고', '아침', '더', '일찍', '나오든가', '매일', '늦고', '변명', '은', '진짜', '역겹다', '됐고', '랑', '다니는', '거', '진짜', '질린다']"
